Feature,Importance
country_LBN,0.00011007474735732231
country_URY,0.00010777839234428104
country_CYP,0.00010674095619472664
country_QAT,0.0001031291883828797
country_MLT,9.985813907768491e-05
country_MAC,9.76555430578729e-05
country_SVN,9.735010288924909e-05
assigned_room_type_P,9.583018243884212e-05
country_EGY,9.219302083488914e-05
country_PER,9.002666704205848e-05
country_SRB,8.86937281950497e-05
country_VEN,8.675236922456576e-05
country_ISL,7.999558680388045e-05
country_BLR,7.970823215044752e-05
country_AZE,7.594169870330119e-05
country_MDV,7.063450240330562e-05
country_KWT,6.200929013186289e-05
country_CPV,6.0154111657907665e-05
country_MYS,5.9307957127363294e-05
country_MKD,5.751374990827056e-05
distribution_channel_Undefined,5.3536782603319304e-05
country_JEY,5.111793712987236e-05
country_KAZ,4.756673290697491e-05
country_PAN,4.580116788374915e-05
country_DOM,4.359732749765778e-05
country_PAK,4.0846429942189376e-05
country_BGD,4.0043642868816384e-05
country_AND,3.9834067011833174e-05
country_PRY,3.890081916240987e-05
country_JOR,3.66395735090174e-05
country_ZMB,3.504692590979669e-05
country_CMR,3.3352701834761655e-05
country_BIH,3.093005538172354e-05
country_GGY,2.992769341470594e-05
country_ZWE,2.951615761221437e-05
country_SEN,2.8443909710332457e-05
country_GAB,2.6710624565469726e-05
country_MCO,2.6447958748280635e-05
market_segment_Undefined,2.5746134621730444e-05
country_BHR,2.5377953715357042e-05
country_NAM,2.281926929585219e-05
country_ARM,2.103098794182737e-05
country_OMN,2.042888630248518e-05
country_ALB,1.9081423132154283e-05
country_KEN,1.7621301941927945e-05
country_BEN,1.723102111754494e-05
country_MUS,1.7116548867188197e-05
country_GHA,1.7058129915685037e-05
country_LIE,1.678975739080801e-05
country_TMP,1.6683115564548266e-05
country_SUR,1.625279685123376e-05
country_PRI,1.616357246346715e-05
country_GLP,1.5525111117364694e-05
reserved_room_type_L,1.5439841602388788e-05
country_SYC,1.417641228326384e-05
country_CIV,1.3745604162098793e-05
country_CUB,1.338606901358746e-05
country_CRI,1.3382489514695609e-05
country_HND,1.3199290201318954e-05
country_ATF,1.312380938160179e-05
country_VNM,1.2711317598602527e-05
country_COM,1.131704695250803e-05
country_UZB,1.1285370004041541e-05
country_UGA,1.0924158746884625e-05
country_IMN,8.861859544713856e-06
country_GNB,7.937931043619555e-06
country_MNE,7.176913647833123e-06
country_FRO,7.002401462174136e-06
country_NIC,6.9138585216126816e-06
country_JAM,6.657954060908019e-06
country_KIR,6.478630985033879e-06
country_IRQ,6.26307329200999e-06
country_KHM,6.164702198558917e-06
country_ETH,5.4331482722525635e-06
country_TZA,5.425870242175206e-06
country_TJK,4.74561472881549e-06
country_SLV,4.716314840886032e-06
country_DJI,4.4939846288781735e-06
country_LBY,4.3266971331601325e-06
country_LKA,4.242204661395153e-06
country_SYR,4.16909308453371e-06
country_RWA,3.476389088940046e-06
country_MYT,3.429107934367528e-06
country_NCL,3.338040781825381e-06
country_ATA,3.203983684187126e-06
country_PLW,3.0240603634100028e-06
country_BFA,2.8508159284401565e-06
country_GTM,2.5107280309457455e-06
country_DMA,2.216435035695648e-06
country_BOL,2.0294430796748685e-06
country_FJI,1.5802818657309146e-06
country_VGB,1.5665030407566937e-06
country_CAF,1.5441688239608425e-06
country_BHS,1.3334342924326904e-06
country_LCA,1.0724963930909314e-06
country_NPL,7.615043514976869e-07
country_SMR,6.890956636313768e-07
country_STP,6.193129075877477e-07
country_BDI,4.629255733088164e-07
country_BRB,3.6207094024536706e-07
country_KNA,3.069239490679286e-07
country_LAO,2.6970239823035935e-07
country_GUY,2.0542491324195123e-07
country_SDN,1.91566130419611e-07
country_CYM,1.9055926250785838e-07
country_MWI,1.1471702746206363e-07
country_MMR,9.151777612033689e-08
country_MDG,8.550614627733807e-08
country_TGO,5.315688709852718e-08
country_BWA,2.9747912193666567e-08
country_PYF,1.008562310798632e-08
country_ASM,0.0
country_AIA,0.0
country_MLI,0.0
country_SLE,0.0
country_MRT,0.0
country_UMI,0.0
assigned_room_type_L,0.0
